host_id,biosample,assembly_accession,assembly_source,reported_st,reported_cc,genome_length,gc_fraction,contig_count,n50,ambiguous_fraction,gene_tagO_present,gene_tagO_intact,gene_tagO_copies,gene_tagA_present,gene_tagA_intact,gene_tagA_copies,gene_tagB_present,gene_tagB_intact,gene_tagB_copies,gene_tagD_present,gene_tagD_intact,gene_tagD_copies,gene_tagF_present,gene_tagF_intact,gene_tagF_copies,gene_tagG_present,gene_tagG_intact,gene_tagG_copies,gene_tagH_present,gene_tagH_intact,gene_tagH_copies,gene_tarF_present,gene_tarF_intact,gene_tarF_copies,gene_tarK_present,gene_tarK_intact,gene_tarK_copies,gene_tarL_present,gene_tarL_intact,gene_tarL_copies,gene_tarM_present,gene_tarM_intact,gene_tarM_copies,gene_tarS_present,gene_tarS_intact,gene_tarS_copies,gene_tarP_present,gene_tarP_intact,gene_tarP_copies,gene_oatA_present,gene_oatA_intact,gene_oatA_copies,gene_capA_present,gene_capA_intact,gene_capA_copies,gene_capB_present,gene_capB_intact,gene_capB_copies,gene_capC_present,gene_capC_intact,gene_capC_copies,gene_capD_present,gene_capD_intact,gene_capD_copies,gene_capE_present,gene_capE_intact,gene_capE_copies,gene_capF_present,gene_capF_intact,gene_capF_copies,gene_capG_present,gene_capG_intact,gene_capG_copies,gene_capH_present,gene_capH_intact,gene_capH_copies,gene_capI_present,gene_capI_intact,gene_capI_copies,gene_capJ_present,gene_capJ_intact,gene_capJ_copies,gene_capK_present,gene_capK_intact,gene_capK_copies,gene_capL_present,gene_capL_intact,gene_capL_copies,gene_capM_present,gene_capM_intact,gene_capM_copies,gene_capN_present,gene_capN_intact,gene_capN_copies,gene_capO_present,gene_capO_intact,gene_capO_copies,gene_capP_present,gene_capP_intact,gene_capP_copies,gene_spa_present,gene_spa_intact,gene_spa_copies,gene_clfA_present,gene_clfA_intact,gene_clfA_copies,gene_clfB_present,gene_clfB_intact,gene_clfB_copies,gene_fnbA_present,gene_fnbA_intact,gene_fnbA_copies,gene_fnbB_present,gene_fnbB_intact,gene_fnbB_copies,gene_sdrC_present,gene_sdrC_intact,gene_sdrC_copies,gene_sdrD_present,gene_sdrD_intact,gene_sdrD_copies,gene_sdrE_present,gene_sdrE_intact,gene_sdrE_copies,gene_hsdR_present,gene_hsdR_intact,gene_hsdR_copies,gene_hsdM_present,gene_hsdM_intact,gene_hsdM_copies,gene_hsdS_present,gene_hsdS_intact,gene_hsdS_copies,gene_cas1_present,gene_cas1_intact,gene_cas1_copies,gene_cas2_present,gene_cas2_intact,gene_cas2_copies,gene_cas9_present,gene_cas9_intact,gene_cas9_copies,gene_csm1_present,gene_csm1_intact,gene_csm1_copies,gene_csm3_present,gene_csm3_intact,gene_csm3_copies,hsdS_intact_allele_count,annotation_available,defensefinder_system_count,crispr_spacer_count,genomad_provirus_count,checkm2_completeness,checkm2_contamination,mlst_called_st,mlst_concordant,qc_pass,qc_reasons
DEU2,SAMN31484049,ERZ26652132,ENA deposited analysis,ST-239,CC8,2904151,0.3270990385830489,91,157405,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
EOE003,SAMN31484056,ERZ26652208,ENA deposited analysis,ST-3488,CC30,2900090,0.3265771062277378,61,170642,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
EOE023,SAMN31484055,ERZ26652200,ENA deposited analysis,ST-36,CC30,2876054,0.3275978128366157,66,150916,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
EOE030,SAMN31484057,ERZ26652216,ENA deposited analysis,ST-36,CC30,2919007,0.3279618719653636,67,170778,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
EOE035,SAMN31484058,ERZ26652226,ENA deposited analysis,ST-36,CC30,2911425,0.3275547197678113,59,170778,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
EOE041,SAMN31484059,ERZ26652237,ENA deposited analysis,ST-36,CC30,2907777,0.32760696573361714,70,181790,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
EOE042,SAMN31484060,ERZ26652251,ENA deposited analysis,ST-36,CC30,2873203,0.32719651204596406,67,175010,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
HU25,SAMN31484061,ERZ26652262,ENA deposited analysis,ST-239,CC8,2931280,0.3279362599274037,85,109037,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
JW30866OBHY3,SAMN31484063,ERZ26652280,ENA deposited analysis,ST-49,unknown,2695064,0.3278953672343217,52,272010,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
JW31330LBHY2,SAMN31484064,ERZ26652293,ENA deposited analysis,ST-49,unknown,2650107,0.3278694030090106,39,660387,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
JW31330OBHY1,SAMN31484065,ERZ26652302,ENA deposited analysis,ST-49,unknown,2692721,0.32805589587632733,39,660046,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
JW32660O5,SAMN31484062,ERZ26652271,ENA deposited analysis,ST-49,unknown,2730669,0.32823897733485824,43,660068,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
MU1,SAMN31484066,ERZ26652315,ENA deposited analysis,unknown,CC8,3029595,0.32616900938904375,668,50878,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,False,contigs_gt_500
MU2,SAMN31484067,ERZ26652327,ENA deposited analysis,ST-239,CC8,2881343,0.32736401046317637,116,96733,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
P32,SAMN31484068,ERZ26652339,ENA deposited analysis,ST-239,CC8,2978368,0.32667689150568363,66,153954,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
SAR1218N1,SAMN31484076,ERZ26652416,ENA deposited analysis,ST-1640,unknown,2802164,0.32687522928707957,40,251863,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
SAR1418N1,SAMN31484077,ERZ26652425,ENA deposited analysis,ST-130,unknown,2799623,0.32736764914418837,31,663981,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
SaTPS3026,SAMN31484069,ERZ26652347,ENA deposited analysis,ST-93,CC93,2807075,0.3268077981528816,42,645072,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
SaTPS3043,SAMN31484070,ERZ26652357,ENA deposited analysis,ST-30,CC30,2805618,0.32725659729870565,45,255412,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
SaTPS3072,SAMN31484071,ERZ26652366,ENA deposited analysis,ST-1,CC1,2823855,0.32675863314511544,32,532737,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
SaTPS3097,SAMN31484072,ERZ26652375,ENA deposited analysis,ST-8,CC8,2900924,0.3258999546351438,49,568120,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
SaTPS3104,SAMN31484073,ERZ26652384,ENA deposited analysis,ST-93,CC93,2822109,0.3268374821808796,91,262894,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
SaTPS3105,SAMN31484074,ERZ26652393,ENA deposited analysis,CT-93,CC93,2761037,0.3278253786530206,58,257752,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
USFL008,SAMN31484078,ERZ26652434,ENA deposited analysis,ST-8,CC8,2870141,0.32640661207933686,34,567522,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
USFL009,SAMN31484079,ERZ26652443,ENA deposited analysis,ST-8,CC8,2888709,0.3262526616561239,55,305024,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
USFL012,SAMN31484080,ERZ26652452,ENA deposited analysis,ST-8,CC8,2906274,0.3258973517293965,58,324701,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
USFL016,SAMN31484081,ERZ26652464,ENA deposited analysis,ST-8,CC8,2884816,0.3262710689347258,34,483710,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
USFL018,SAMN31484082,ERZ26652473,ENA deposited analysis,ST-8,CC8,2886640,0.32622218219105953,45,483856,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
USFL020,SAMN31484083,ERZ26652482,ENA deposited analysis,ST-8,CC8,2860660,0.3264652213125642,50,300889,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,True,
